text,class
so jew hating muslim of them  those sneaky jews all 15 milliin vs 1.5 billion of muslimsmuslims always blame the jews .,explicit_hate
Stoni is a fuckin queer...,explicit_hate
they are out smarting u . anither proof had the whites not raped the world they wud have been puny little bugs !,explicit_hate
if the people of the state don't want faggots anywhere near children  then why is federal judges allowed to overrule them ?,explicit_hate
Soros needs to die like a diseased dog in the middle of Main Street/,explicit_hate
"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;",explicit_hate
"Hey @RSherman_25 you're a nigger #racismisaliveandwellbro , learn from other blacks in the league on how to conduct yourself",explicit_hate
"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",explicit_hate
@fucktyler fuck you spear chucker,explicit_hate
" .  "" kill any jew who falls into your power "" "" - muhammad in ibn ishaq's sira """,explicit_hate
there are more black abortions alone than white abortions . abortion generally affects the most dysgenic groups .,explicit_hate
Of course my #faith for #baseball is off this year. BECAUSE OF #BARRYBONDS you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons,explicit_hate
go back to mexico don't like it leave democraps suck queers,explicit_hate
@kieffer_jason bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,explicit_hate
Don't mind black people.....hate niggers!,explicit_hate
someones clearly a stinky ass beaner...,explicit_hate
what is #romney going to do for white americans ? not for blacks  jews  israel  latinos  asians  queers  etc . #gop,explicit_hate
"Gave her that ""move it lil nigger"" push smh.. http://t.co/EKdSI8pQdD",explicit_hate
"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",explicit_hate
so get out there and vote for a staunch supporter of fetal murder you racists amirite ? cuck . you're worse than shameless .,explicit_hate
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,explicit_hate
if congress wont stop funding baby murders  we must stop funding congress pp on a cash course with congress :,explicit_hate
@IDisDummies Can you speak one coherent sentence without sounding like a nig? Seriously.,explicit_hate
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,explicit_hate
if you hire illegals you support slavery  cheap labor needs to go  along with you  cheap bastards !,explicit_hate
"until u knock t shit out of t moslems and let them know u are most willing fight 4 urselves, u lose!",explicit_hate
RT @ajade___: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch &#128586;&#128566;,explicit_hate
" civic nationalism is three cucks arguing about what it even means to be american ( german  british .. ) and what constitutes integration ( as well as their duty to  "" integrate "" "" their own children into the sweeping change ) """,explicit_hate
@georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,explicit_hate
can we trade a few busloads of the white southern cucks to get her on team white ?,explicit_hate
"Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO 

bitch pick one.

Fucking hate you.

I know you proud but shit.",explicit_hate
ban that pos plague called islam ! ! ! they are illegal here ! ! !,explicit_hate
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,explicit_hate
finns protest against increasing number of non-white invaders | more : via,explicit_hate
"Faux Noise pundits don't like duck molester, pro-slavery racist, homophobic teabagger darling Phil Robertson either http://t.co/xXEhPHWWwr",explicit_hate
RT @602StrangeAngel: Your Swags off fag sauce,explicit_hate
"RT @obeyyreggie: stfu hoe RT &#8220;@tedddydgaf: ""I'm proud to be African American"" 
- Proud African American

""I'm proud to be white"" 
- Racist
&#8230;",explicit_hate
california : imam calls on muslims to kill and annihilate jews,explicit_hate
@RunuldoRants faggot sack,explicit_hate
