,text,class
5791,: obama finally showing his muslim roots,explicit_hate
2984,: racist attacks on white dutch people by mobs of muslim immigrants continue ( video ),explicit_hate
10463,can faggots join if they are white ? lol,explicit_hate
4904,becuz white pepo is evil,explicit_hate
20099,urban environment is your code for filled with niggers right?,explicit_hate
19194,your right ! any are better than islam !,explicit_hate
19472,"saudi arabia is a disgusting, inhuman regime. truly evil. lower than vermin. still, business is business. kerching!",explicit_hate
16198,lil american white girl could kill five negros from a mile a way,explicit_hate
9171,what is #romney going to do for white americans ? not for blacks  jews  israel  latinos  asians  queers  etc . #gop,explicit_hate
4080,harry reid is is not an old white man . he's an old white rat,explicit_hate
19802,fuck israel. dirty rats. no one likes them its why they all get expelled all the time. european probl,explicit_hate
1303,dumbocrats help me out here . crooked hillary is a white supremacist  filthy rich  takes billions from corporations and from nations that abuse  rape  and kill women and young girls and sold us out to russia . these are things libs are supposed to hate yet you worship her ! yikes,explicit_hate
16578,you didn't catch the meaning of what i'm saying . 1 ) white is a color . jews can hide under the white cloak & do damage cause they look white .,explicit_hate
18650,dear white people  jews are flooding your nations with savages from the middle east & openly admit it .,explicit_hate
65,one of the questions never asked : if africans had won any of their repeated wars for european conquest  would we still be slaves ? of course .,explicit_hate
19115,wearing blue jeans is for degenerates.,explicit_hate
10980,via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,explicit_hate
9685,i say you are wrong . white people are thugs and will rob and atta,explicit_hate
4340,pl . nuke all islam the moment you come to power others are paper tigers,explicit_hate
13652,the northwest front . no jews  no queers  no mudsharks  just right .,explicit_hate
1381,i blame this anti-white violence on jews ( like tim wise ) . they encourage this .,explicit_hate
988," i love how this jew rat slave of satan claims she is  "" white "" "" no jew your not white . """,explicit_hate
1186,amren said civic nationalist  not white nationalist you goober,explicit_hate
366,cuckservatives : ben sasse calls out jeff flake,explicit_hate
16297,radical extremist #jew writer for promotes #genocide against white americans . quite typical .,explicit_hate
9395,- muslim invaders must be sent back ! ! !,explicit_hate
18245,the truth is soros bused white trash carpetbaggers infiltration,explicit_hate
1317,fauck _seeding to kkk my deak,explicit_hate
9462,adl dimbulbs freak out over inmate styled clothing : the criminal supremacist jews at the adl and it's gang lea ...,explicit_hate
18863,oh wow . look at this white trash .,explicit_hate
20103,"nothing to see here, goyess",explicit_hate
9762,john adams was of course talking about all the white trash outside of new england  sorry johnny i don't care about puritans,explicit_hate
14980,always be armed  in case you meet antifa faggots or lesbians or communists ! and aim to kill !,explicit_hate
9731,islam is full of child molesting faggots . #mohamedsucksdick,explicit_hate
9413,90 % of all interracial crime is black on white . white people have paid a terrible price for trying to live with blacks .,explicit_hate
19301,"islamofascists, savage sub-animal heathens, eradicate",explicit_hate
12512,looks like they expect more monkies to go for it than white people .,explicit_hate
977," civic nationalism is three cucks arguing about what it even means to be american ( german  british .. ) and what constitutes integration ( as well as their duty to  "" integrate "" "" their own children into the sweeping change ) """,explicit_hate
17978,islam is a terrorist group .,explicit_hate
4192,internet censorship ramps up as second white nationalist website has dns seized via evil doing jew ?,explicit_hate
