text,label
Ready .... GO !!!,noHate
If i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use,noHate
ALWAYS SPEAK OUT WHEN IN A CLASS WITH A BRAINWASHING TEACHER BECAUSE ONCE YOU SPEAK OTHERS WHO MAY FEEL THE SAME WAY MAY REALIZE THEY ARE NOT ALONE but if you say nothing then everybody will without question go along with the anti white brainwashing .,noHate
They fit the same DNA as the DNA found in ancient mummies .,noHate
I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,hate
If they were jew pieces of garbage who the hell cares what happened to them .,hate
http://www.newnation.tv/forums/showthread.php ? t = 207286,noHate
Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !,hate
I hope this will catch on like the 14 words .,noHate
"Such as a person with one arm , wheel chair ect .",noHate
That is how we get happy country .,noHate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,hate
Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !,hate
Moby Extreme Ways ( The Bourne Clip ) - YouTube,noHate
It 's close to Finnic and Estonian .,noHate
"JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .",hate
I went back a cpl years ago and the black vermin were everywhere .,hate
Gatsby Coram & Stoney Westmoreland - FedEx Commercial `` Vacation at home '' - YouTube,noHate
"Thanks, ive actually found this to be a very warm and welcoming site , been reading for a few weeks now , thought id register .",noHate
Sub 70 I.Q. I would say for sure .,hate
The only thing Negroes have is wishful want .,hate
"Liberals go on about diversity and how we all need it , but they have no problem with two completely different types of people blending together and being the same .",noHate
You cant expect those poor underprivilidged blacks to have to put up with this cold weather .,hate
Yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the UK .,hate
Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .,hate
Tell them we 'll legalize drugs and pedophilia .,hate
It is a total disgrace when tax-payer dollars can go to promoting such degenerate filth .,hate
"Hi: I want to share these wonderful videos , very beautiful teachers and great new methods for everybody can easily learn .",noHate
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .",hate
Wanna talk im or pm me,noHate
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,hate
Regurgitation of good info is better than ingestion of jewish-disinformation .,hate
"A good solution is that we make a good famous news program where we can show this kind of things , but that 's nearly impossible ..",noHate
"In fact , if you buy California fruit , you have tasted illegal alien DNA .",hate
Truth is welcome who ever speaks it .,noHate
