,text,label
2846,"  "" you're a racist "" "" ! """,not_hate
13758,what is so threatening to you about people who aren't white ?,not_hate
4116,how's the white nationalists treating you ? #bannon got your back  huh ?,not_hate
18040,media matters eric boehlert : you have neo-nazis celebrating the trump presidency,not_hate
3517,thanks to & others i know the origin of radical islamism . bro .,not_hate
13801,white supremacists are such ridiculous crybabies . so deeply insecure .,not_hate
1990," the  "" man's "" "" name is nathan damigo . he's a white supremacist . he sucker punched that woman . he's with <- pos racist cowards ! """,not_hate
4547,we need your support to promote the white shark party ! help us getting to more people,not_hate
18457," oh you don't hate yourself  you hate the  "" lower "" "" white people who don't hold your establis """,not_hate
8265,when are you and your following gonna get to the white nights and cool aid  jonestown style ?,not_hate
12437,if you want to remove the #democrat party  you better hurry . they are removing themselves at an accelerated pace .,not_hate
8462,#plannedparenthood louisiana : unneeded and #unwanted . ht #prolife,not_hate
15229,im not a white supremacist  you happy ?,not_hate
12397,i drove once from a different location and the drive was beautiful . many of the same  excellent people will be there,not_hate
2217,even garvey needed help from whitey . the black star line was not built by blacks  it was an old ship built by white people lol . sad really ..,not_hate
10895,the alt-right is no fun anymore  that is the problem .,not_hate
1848,why is following the jewish #adl #aipac #cair model 2 divide america  & attack white americans / christians ?,not_hate
16352,thank you mr president and may god richly bless you,not_hate
726,that symbol wassist . you rost  white trash . get over it .,not_hate
4922,british soldier against nazis in ww2 lost his country anyway via,not_hate
5928,dramatic rise of white flight in uk : white families escape from multiracial areas | read more :,not_hate
14857," rt how many more are there and does the  "" love of your life "" "" know ? #cruzsexscandal """,not_hate
13005," rt virginia romnetty  ceo of ibm meets pm ;d iscusses software for  "" smart cities "" "" & digital india initiative """,not_hate
3801," rt : the #us  "" just-us "" "" system's failures and corruption . #hatecrime #news #video #youtube """,not_hate
10818,robertspencer hatemongerbe brave an admit you are fulfills christian / jew zionist hate agenda against,not_hate
6365,this is very bad . pl . take precaution .,not_hate
9086,then theyll unite against non party affiliated independents who will be we the people local reps making honest decisions 2 help communities,not_hate
15460,thank god there is nothing bigger going on in the world today so you can talk about charlottesville so many months later,not_hate
16853,but we got the permits and made sure there was no fire damage .,not_hate
3005,a report by the southern poverty law center identifies 27 active anti-gay hate groups : 9 . true light pentecost church ( spartanburg  sc ),not_hate
7450,"  "" this too shall pass "" "" in the not distract future we'll tear down all of their pathetic monuments """,not_hate
2585,target isn't worried about conservchristians boycotting them . it will help keep white trash out of the store,not_hate
10346,6 . you blame whites for non-white failure while i accept the diversity of abilities within each race ...,not_hate
15025,because with every thing going on in this country the antifa group has takin the count,not_hate
6100,it will be a major loss to the altright though if it becomes only about the south . south & other areas,not_hate
10504,ever heard of the x-men ? hybrid mutants that constantly save white people .,not_hate
15252,it would be very beneficial to let some jews join guys you need to be more diverse i'm mexican and i would like to join also,not_hate
4385,slavs are white,not_hate
3813," rt they've shifted from labeling everyone  "" white supremacists "" "" to "" "" white nationalists "" "" which is odd . """,not_hate
17799,cuckservatives : mlk conservatives eschew white identity politics via #gop #waronwhites,not_hate
2574,submachine gun attack on german invader,not_hate
5765,5 / passion and work for causes they care about . i shared all the pictures of the nazis at charlottesville . some of those people were,not_hate
15096,do we have 100 % proof these statues did not commit any murders ?,not_hate
17787,communists torture and massacre priests  nuns  and choir boys in marxist upheavals in spain #swrm via,not_hate
