,ID,Text,Hate,HD,CV,VO,REL,RAE,SXO,GEN,IDL,NAT,POL,MPH,EX,IM
140,27121,"This has been a hellish day for yours truly.   However, the news of McTraitor brightened it up.",0,0,0,1,,,,,,,,,,
141,27121,"This has been a hellish day for yours truly.   However, the news of McTraitor brightened it up.",0,0,0,0,,,,,,,,,,
177,27136,Well it turns out he's a steaming pile of Presidential shit... he signed it.,0,0,0,0,,,,,,,,,,
178,27136,Well it turns out he's a steaming pile of Presidential shit... he signed it.,0,0,0,1,,,,,,,,,,
235,27164,I always HATED HATED this band back in the day. I had a metal radio show in high school (1990 - I'm ancient). I'd get requests for this band and I'd reluctantly play them. I guess I've chilled out a bit. I now embrace the cheese! And wow this is cheesy as fuck. #heavymetal #music #manowarhttps://www.youtube.com/watch?v=Q0rAnyWUnwE,0,0,0,1,,,,,,,,,,
236,27164,I always HATED HATED this band back in the day. I had a metal radio show in high school (1990 - I'm ancient). I'd get requests for this band and I'd reluctantly play them. I guess I've chilled out a bit. I now embrace the cheese! And wow this is cheesy as fuck. #heavymetal #music #manowarhttps://www.youtube.com/watch?v=Q0rAnyWUnwE,0,0,0,0,,,,,,,,,,
446,27342,"No attack guys, it was a problem on our servers. Shit happens 🤷‍♂️",0,0,0,1,,,,,,,,,,
447,27342,"No attack guys, it was a problem on our servers. Shit happens 🤷‍♂️",0,0,0,0,,,,,,,,,,
543,27481,https://www.breitbart.com/london/2018/08/18/german...  Same shit different day  #SpeakFreely,0,0,0,1,,,,,,,,,,
544,27481,https://www.breitbart.com/london/2018/08/18/german...  Same shit different day  #SpeakFreely,0,0,0,0,,,,,,,,,,
546,27482,https://www.rt.com/uk/436127-child-sex-abuse-hudde...  Here we go again ...but just keep on worrying about fucking letterboxes  #SpeakUp #SpeakFreely  #BritFam,0,0,0,1,,,,,,,,,,
547,27482,https://www.rt.com/uk/436127-child-sex-abuse-hudde...  Here we go again ...but just keep on worrying about fucking letterboxes  #SpeakUp #SpeakFreely  #BritFam,0,0,0,0,,,,,,,,,,
553,27484,Who is the fucking animal here ? #SpeakFreely,0,0,0,1,,,,,,,,,,
554,27484,Who is the fucking animal here ? #SpeakFreely,0,0,0,0,,,,,,,,,,
563,27488,'a party for bigots' is the best kind of party.,0,0,0,1,,,,,,,,,,
564,27488,'a party for bigots' is the best kind of party.,0,0,0,0,,,,,,,,,,
621,10,cool ideas: - trayvon martin VR gay porn - farting -,0,0,0,1,,,,,,,,,,
622,10,cool ideas: - trayvon martin VR gay porn - farting -,0,0,0,0,,,,,,,,,,
819,118,"Things in life may get chaotic once in a while like a co worker gets suspended because of yelling, making your life 10 times worse than before, a family member dying, a baby not getting born and huge accident happened to yourself but soon after things will get better it may take days,weeks, hell even months before things get better however big or small something happens it's only there to make you...",0,0,0,1,,,,,,,,,,
820,118,"Things in life may get chaotic once in a while like a co worker gets suspended because of yelling, making your life 10 times worse than before, a family member dying, a baby not getting born and huge accident happened to yourself but soon after things will get better it may take days,weeks, hell even months before things get better however big or small something happens it's only there to make you...",0,0,0,0,,,,,,,,,,
822,119,Salutations to all keyans on gab i hope you all are having a good time adjusting to a possible permanent stay on this site and loving it as much as i do we may not all agree on how to make our governments function or how society should be but i think we all here agree on one thing and that is FUCK TWITTER! #KenyansOnGAB,0,0,0,1,,,,,,,,,,
823,119,Salutations to all keyans on gab i hope you all are having a good time adjusting to a possible permanent stay on this site and loving it as much as i do we may not all agree on how to make our governments function or how society should be but i think we all here agree on one thing and that is FUCK TWITTER! #KenyansOnGAB,0,0,0,0,,,,,,,,,,
1008,284,"Yes yes, I've heard it before.  And I agree, they are free speech.    But guess what, the site is a few days away from going dark forever, again, possibly because of racist shitposts that were 1 tiny step away from a call to violence against Jews.    Not everywhere is fucking /pol.",0,0,0,1,,,,,,,,,,
1009,284,"Yes yes, I've heard it before.  And I agree, they are free speech.    But guess what, the site is a few days away from going dark forever, again, possibly because of racist shitposts that were 1 tiny step away from a call to violence against Jews.    Not everywhere is fucking /pol.",0,0,0,0,,,,,,,,,,
1055,340,"The GOP establishment is pretty against Nunes.  The old timey 'my uncle' 'my dad' 'my grandpa' are after me for asking why Janz runs with grifters. lol. Jack Jarvis wants to sue my ass.  I ain't about to get sued though. Dude got unsuspended after 3 restrictions and a suspension, comes back meaner than before. @a @Amy @Microchip  #maga #gabfam",0,0,0,1,,,,,,,,,,
1056,340,"The GOP establishment is pretty against Nunes.  The old timey 'my uncle' 'my dad' 'my grandpa' are after me for asking why Janz runs with grifters. lol. Jack Jarvis wants to sue my ass.  I ain't about to get sued though. Dude got unsuspended after 3 restrictions and a suspension, comes back meaner than before. @a @Amy @Microchip  #maga #gabfam",0,0,0,0,,,,,,,,,,
1058,341,Some granddaughter of a Rockerfeller Republican is trying to get people shot and banned on twitter. Weird shit. #gabfam #maga https://twitter.com/JackGOPFam/status/103342287778... @a @Amy @Microchip,0,0,0,1,,,,,,,,,,
1059,341,Some granddaughter of a Rockerfeller Republican is trying to get people shot and banned on twitter. Weird shit. #gabfam #maga https://twitter.com/JackGOPFam/status/103342287778... @a @Amy @Microchip,0,0,0,0,,,,,,,,,,
1073,345,I actually live in Fresno County where Janz is a deputy DA.  A kid who was my catcher in Little League works with him and his Dad is a judge.   I guess I have to talk to family friends about Janz and his lack of response.   Sad. No I am not troll Chuck Johnson. lmao.  He's a rude douche. My question was seen by the facebook team on 8/3.  lol.   @a @Amy @Microchip  #maga #gabfam,0,0,0,1,,,,,,,,,,
1074,345,I actually live in Fresno County where Janz is a deputy DA.  A kid who was my catcher in Little League works with him and his Dad is a judge.   I guess I have to talk to family friends about Janz and his lack of response.   Sad. No I am not troll Chuck Johnson. lmao.  He's a rude douche. My question was seen by the facebook team on 8/3.  lol.   @a @Amy @Microchip  #maga #gabfam,0,0,0,0,,,,,,,,,,
1093,384,"Trust too quickly and it comes back to bite you in the ass. Remember these words.I can't seem to find the way to keep someone from following me here on mobile , if I could , a great number of my followers would be history.",0,0,0,1,,,,,,,,,,
1094,384,"Trust too quickly and it comes back to bite you in the ass. Remember these words.I can't seem to find the way to keep someone from following me here on mobile , if I could , a great number of my followers would be history.",0,0,0,0,,,,,,,,,,
1118,397,"Yo @ZaneTyler classical liberals aka libertarians who support Trump are ON YOUR SIDE for the foreseeable future. You apparently just visited my profile and decided that I'm the enemy even though i'm out here day in and day out sticking up for Trump, Liberty, Freedom, and the United fucking States of America.",0,0,0,1,,,,,,,,,,
1119,397,"Yo @ZaneTyler classical liberals aka libertarians who support Trump are ON YOUR SIDE for the foreseeable future. You apparently just visited my profile and decided that I'm the enemy even though i'm out here day in and day out sticking up for Trump, Liberty, Freedom, and the United fucking States of America.",0,0,0,0,,,,,,,,,,
1158,419,what the best printer for about $150?  I know they are all shit but help me out Gab,0,0,0,1,,,,,,,,,,
1159,419,what the best printer for about $150?  I know they are all shit but help me out Gab,0,0,0,0,,,,,,,,,,
1213,465,Never depend on information from a company that sells information #facebook #fucczucc,0,0,0,0,,,,,,,,,,
1215,465,Never depend on information from a company that sells information #facebook #fucczucc,0,0,0,1,,,,,,,,,,
1271,526,Robert DiNiro has turned into a doddering old fool,0,0,0,0,,,,,,,,,,
1272,526,Robert DiNiro has turned into a doddering old fool,0,0,0,1,,,,,,,,,,
1356,592,"So Rubio is a 'No' on tax cuts unless child credits are upped. Here's the first drawback of losing the Alabama by-election. A 51-49 majority in the senate gives cucks way too much power. Flake, Corker, Mccain, Rubio; if one of them says no, the GOP is already hamstrung!",0,0,0,0,,,,,,,,,,
1357,592,"So Rubio is a 'No' on tax cuts unless child credits are upped. Here's the first drawback of losing the Alabama by-election. A 51-49 majority in the senate gives cucks way too much power. Flake, Corker, Mccain, Rubio; if one of them says no, the GOP is already hamstrung!",0,0,0,1,,,,,,,,,,
1371,597,Paul Nehlen has turned into an absolute shitlord over the past few months. I highly recommend the most recent episode of 'Fash the Nation' (TRS) where they had him on as a guest. #FTN #Altright,0,0,0,0,,,,,,,,,,
1372,597,Paul Nehlen has turned into an absolute shitlord over the past few months. I highly recommend the most recent episode of 'Fash the Nation' (TRS) where they had him on as a guest. #FTN #Altright,0,0,0,1,,,,,,,,,,
1456,706,@Wrm and I play a really dumb game where I crappily draw out hints to different songs.  Here are a couple.  #LetsPlayAGame,0,0,0,1,,,,,,,,,,
1457,706,@Wrm and I play a really dumb game where I crappily draw out hints to different songs.  Here are a couple.  #LetsPlayAGame,0,0,0,0,,,,,,,,,,
1459,707,"Our cat, Crow, just scared the shit outta me. Dark outside, and he is black. He was sitting in the window and made a thump. I didn’t see him.",0,0,0,1,,,,,,,,,,
1460,707,"Our cat, Crow, just scared the shit outta me. Dark outside, and he is black. He was sitting in the window and made a thump. I didn’t see him.",0,0,0,0,,,,,,,,,,
1716,879,"One shit test I have for seeing if a 'right-winger' is actually such is asking about Jordan Peterson.  Anyone who thinks he is, in any way, a figure of the Right, conservatism, or Christianity can be immediately dismissed",0,0,0,1,,,,,,,,,,
1717,879,"One shit test I have for seeing if a 'right-winger' is actually such is asking about Jordan Peterson.  Anyone who thinks he is, in any way, a figure of the Right, conservatism, or Christianity can be immediately dismissed",0,0,0,0,,,,,,,,,,
1883,1013,This Alex Jones shit makes me hope the Anti Trust people go after these companies Break them up like the oil companies and phone companies,0,0,0,1,,,,,,,,,,
1884,1013,This Alex Jones shit makes me hope the Anti Trust people go after these companies Break them up like the oil companies and phone companies,0,0,0,0,,,,,,,,,,
1904,1052,I'm fairly certain those would grow organically as soon as shit got started.,0,0,0,1,,,,,,,,,,
1905,1052,I'm fairly certain those would grow organically as soon as shit got started.,0,0,0,0,,,,,,,,,,
1926,1063,I hope Gen Z changes college political BS. -From an incoming Class of 2022 member,0,0,0,1,,,,,,,,,,
1927,1063,I hope Gen Z changes college political BS. -From an incoming Class of 2022 member,0,0,0,0,,,,,,,,,,
1934,1065,"Damn, France beating Belgium was only the second result I didn’t pick correcly since the knockout stage started.",0,0,0,1,,,,,,,,,,
1935,1065,"Damn, France beating Belgium was only the second result I didn’t pick correcly since the knockout stage started.",0,0,0,0,,,,,,,,,,
2182,1318,McSalley Arizona has done it again other commie running for Senate. Damn,0,0,0,1,,,,,,,,,,
2183,1318,McSalley Arizona has done it again other commie running for Senate. Damn,0,0,0,0,,,,,,,,,,
2202,1323,Humans never change. You all know free anything is bullshit. Gab is about as good as it will get  Civil war will only change the narrative to the  victor  It is coming but really will not change much  We are humans and really fucked up   Misanthrope,0,0,0,1,,,,,,,,,,
2203,1323,Humans never change. You all know free anything is bullshit. Gab is about as good as it will get  Civil war will only change the narrative to the  victor  It is coming but really will not change much  We are humans and really fucked up   Misanthrope,0,0,0,0,,,,,,,,,,
2339,1738,"Correct me if I am wrong, but I think Mueller may have stepped on his dick with this stunt.",0,0,0,1,,,,,,,,,,
2340,1738,"Correct me if I am wrong, but I think Mueller may have stepped on his dick with this stunt.",0,0,0,0,,,,,,,,,,
2723,2215,Former NY AG Schneiderman is a racist and abusive sex pervert who's very into Master-Slave sexual dominance activity... Exactly like the Hillary Clinton linked Nxivm sex cult... and he shut down an ongoing investigation into their activities a month ago. Coincidence? https://www.spartareport.com/2018/05/an-odd-simila...,0,0,0,0,,,,,,,,,,
2724,2215,Former NY AG Schneiderman is a racist and abusive sex pervert who's very into Master-Slave sexual dominance activity... Exactly like the Hillary Clinton linked Nxivm sex cult... and he shut down an ongoing investigation into their activities a month ago. Coincidence? https://www.spartareport.com/2018/05/an-odd-simila...,0,0,0,1,,,,,,,,,,
